A01 农、林、牧、渔 农业
A03 农、林、牧、渔 林业
A05 农、林、牧、渔 畜牧业
A07 农、林、牧、渔 渔业
A09 农、林、牧、渔 农、林、牧、渔服务业
B01 采掘业 煤炭采选业
B03 采掘业 石油和天然气开采业
B05 采掘业 黑色金属矿采选业
B07 采掘业 有色金属矿采选业
B09 采掘业 非金属矿采选业
B49 采掘业 其他矿采选业
B50 采掘业 采掘服务业
C01 制造业 食品加工业
C03 制造业 食品制造业
C05 制造业 饮料制造业
C11 制造业 纺织业
C13 制造业 服装及其他纤维制品制造业
C14 制造业 皮革、毛皮、羽绒及制品制造业
C21 制造业 木材加工及竹、藤、棕、草制品业
C25 制造业 家具制造业
C31 制造业 造纸及纸制品业
C35 制造业 印刷业
C37 制造业 文教体育用品制造业
C41 制造业 石油加工及炼焦业
C43 制造业 化学原料及化学制品制造业
C47 制造业 化学纤维制造业
C48 制造业 橡胶制造业
C49 制造业 塑料制造业
C51 制造业 电子元器件制造业
C55 制造业 日用电子器具制造业
C57 制造业 其他电子设备制造业
C59 制造业 电子设备修理业
C61 制造业 非金属矿物制品业
C65 制造业 黑色金属冶炼及压延加工业
C67 制造业 有色金属冶炼及压延加工业
C69 制造业 金属制品业
C71 制造业 普通机械制造业
C73 制造业 专用设备制造业
C75 制造业 交通运输设备制造业
C76 制造业 电器机械及器材制造业
C78 制造业 仪器仪表及文化、办公用机械制造业
C81 制造业 医药制造业
C85 制造业 生物制品业
C99 制造业 其他制造业
D01 电力、煤气及水的生产和供应业 电力、蒸汽、热水的生产和供应业
D03 电力、煤气及水的生产和供应业 煤气生产和供应业
D05 电力、煤气及水的生产和供应业 自来水的生产和供应业
E01 建筑业 土木工程建筑业
E05 建筑业 装修装饰业
F01 交通运输、仓储业 铁路运输业
F03 交通运输、仓储业 公路运输业
F05 交通运输、仓储业 管道运输业
F07 交通运输、仓储业 水上运输业
F09 交通运输、仓储业 航空运输业
F11 交通运输、仓储业 交通运输辅助业
F19 交通运输、仓储业 其他交通运输业
F21 交通运输、仓储业 仓储业
G81 信息技术业 通信及相关设备制造业
G83 信息技术业 计算机及相关设备制造业
G85 信息技术业 通信服务业
G87 信息技术业 计算机应用服务业
H01 批发和零售贸易 食品、饮料、烟草和家庭用品批发业
H03 批发和零售贸易 能源、材料和机械电子设备批发业
H09 批发和零售贸易 其他批发业
H11 批发和零售贸易 零售业
H21 批发和零售贸易 商业经纪与代理业
I01 金融、保险业 银行业
I11 金融、保险业 保险业
I21 金融、保险业 证券、期货业
I31 金融、保险业 金融信托业
I41 金融、保险业 基金业
I99 金融、保险业 其他金融业
J01 房地产业 房地产开发与经营业
J05 房地产业 房地产管理业
J09 房地产业 房地产中介服务业
K01 社会服务业 公共设施服务业
K10 社会服务业 邮政服务业
K20 社会服务业 专业、科研服务业
K30 社会服务业 餐饮业
K32 社会服务业 旅馆业
K34 社会服务业 旅游业
K36 社会服务业 娱乐服务业
K37 社会服务业 卫生、保健、护理服务业
K39 社会服务业 租赁服务业
K99 社会服务业 其他社会服务业
L01 传播与文化产业 出版业
L05 传播与文化产业 声像业
L10 传播与文化产业 广播电影电视业
L15 传播与文化产业 艺术业
L20 传播与文化产业 信息传播服务业
L99 传播与文化产业 其他传播、文化产业
